mkoa,wilaya,shule
Arusha,Arusha CC,ARUSHA DAY
Arusha,Arusha CC,ARUSHA GIRLS
Arusha,Arusha CC,ARUSHA SEC
Arusha,Arusha CC,ARUSHA TERRAT
Arusha,Arusha CC,BARAA
Arusha,Arusha CC,ELERAI
Arusha,Arusha CC,FELIX MREMA
Arusha,Arusha CC,KALOLENI
Arusha,Arusha CC,KIMASEKI
Arusha,Arusha CC,KINANA
Arusha,Arusha CC,KORONA
Arusha,Arusha CC,LEMARA
Arusha,Arusha CC,LOSIRWAY
Arusha,Arusha CC,MKONOO
Arusha,Arusha CC,MOIVARO
Arusha,Arusha CC,MOSHONO
Arusha,Arusha CC,MURIET
Arusha,Arusha CC,NAURA
Arusha,Arusha CC,NGARENARO
Arusha,Arusha CC,NJIRO
Arusha,Arusha CC,OLASITI
Arusha,Arusha CC,OLMOTI
Arusha,Arusha CC,OLOIRIEN
Arusha,Arusha CC,SINON
Arusha,Arusha CC,SOMBETINI
Arusha,Arusha CC,SORENYI
Arusha,Arusha CC,SUYE
Arusha,Arusha CC,THEMI
Arusha,Arusha DC,BANGATA
Arusha,Arusha DC,EINOTI
Arusha,Arusha DC,ENDEVES
Arusha,Arusha DC,ENYOITO
Arusha,Arusha DC,ILBORU
Arusha,Arusha DC,ILKIDINGA
Arusha,Arusha DC,KIMNYAKI
Arusha,Arusha DC,KIRANYI
Arusha,Arusha DC,LENGIJAVE
Arusha,Arusha DC,LOSIKITO
Arusha,Arusha DC,MATEVES
Arusha,Arusha DC,MLANGARINI
Arusha,Arusha DC,MRINGA
Arusha,Arusha DC,MUKULAT
Arusha,Arusha DC,MUSA
Arusha,Arusha DC,MWANDET
Arusha,Arusha DC,NDURUMA
Arusha,Arusha DC,NGIRESI
Arusha,Arusha DC,OLDADAI
Arusha,Arusha DC,OLDONYOSAMBU
Arusha,Arusha DC,OLDONYOWASI
Arusha,Arusha DC,OLEMEDEYE
Arusha,Arusha DC,OLJORO
Arusha,Arusha DC,OLMOTONYI FOREST
Arusha,Arusha DC,OLOKII
Arusha,Arusha DC,OLTRUMET
Arusha,Arusha DC,OSILIGI
Arusha,Arusha DC,SAMBASHA
Arusha,Arusha DC,SOKONI II
Arusha,Karatu DC,AWET
Arusha,Karatu DC,BANJIKA
Arusha,Karatu DC,BARAY
Arusha,Karatu DC,BARAY KHUSMAYI
Arusha,Karatu DC,CHAENDA
Arusha,Karatu DC,DIEGO
Arusha,Karatu DC,DOMEL
Arusha,Karatu DC,DR WILBROAD SLAA
Arusha,Karatu DC,EDITH GRORA
Arusha,Karatu DC,ENDABASH
Arusha,Karatu DC,ENDALLAH
Arusha,Karatu DC,FLORIAN
Arusha,Karatu DC,GANAKO
Arusha,Karatu DC,GETAMOCK
Arusha,Karatu DC,GYEKRUM ARUSHA
Arusha,Karatu DC,GYEKRUM LAMBO
Arusha,Karatu DC,KAINAM RHOTIA
Arusha,Karatu DC,KANSAY
Arusha,Karatu DC,KARATU
Arusha,Karatu DC,KILIMAMOJA
Arusha,Karatu DC,KILIMATEMBO
Arusha,Karatu DC,MANGOLA
Arusha,Karatu DC,MARANG
Arusha,Karatu DC,MLIMANI SUMAWE
Arusha,Karatu DC,OLDEANI
Arusha,Karatu DC,ORBOSHAN
Arusha,Karatu DC,QANGDEND
Arusha,Karatu DC,QARU
Arusha,Karatu DC,QURUS
Arusha,Karatu DC,SLAHHAMO
Arusha,Karatu DC,UPPER KITETE
Arusha,Karatu DC,WELWEL
Arusha,Longido DC,ENDUIMET
Arusha,Longido DC,ENGARENAIBOR
Arusha,Longido DC,KETUMBEINE
Arusha,Longido DC,LEKULE
Arusha,Longido DC,LONGIDO
Arusha,Longido DC,MATALE
Arusha,Longido DC,NAMANGA
Arusha,Longido DC,NATRON
Arusha,Longido DC,TINGATINGA
Arusha,Meru DC,AKERI
Arusha,Meru DC,KIKWE
Arusha,Meru DC,KINGORI
Arusha,Meru DC,KISIMIRI
Arusha,Meru DC,KITEFU
Arusha,Meru DC,LAKITATU
Arusha,Meru DC,MAJENGO KATI
Arusha,Meru DC,MAJI YA CHAI
Arusha,Meru DC,MAKIBA
Arusha,Meru DC,MALULA
Arusha,Meru DC,MARORONI
Arusha,Meru DC,MARUVANGO
Arusha,Meru DC,MBUGUNI
Arusha,Meru DC,MIRIRINI
Arusha,Meru DC,MOMELA
Arusha,Meru DC,MUUNGANO USARIVER
Arusha,Meru DC,NASHOLI
Arusha,Meru DC,NGONGONGARE
Arusha,Meru DC,NGURUDOTO
Arusha,Meru DC,NGYEKU
Arusha,Meru DC,NKOANEKOLI
Arusha,Meru DC,NKOANRUA
Arusha,Meru DC,NKOARISAMBU
Arusha,Meru DC,NKOASENGA
Arusha,Meru DC,NSHUPU
Arusha,Meru DC,PAMOJA
Arusha,Meru DC,PATANDI MAALUM
Arusha,Meru DC,POLI
Arusha,Meru DC,SAKILA
Arusha,Meru DC,SHISHTON
Arusha,Meru DC,SINGISI
Arusha,Meru DC,SONGORO
Arusha,Meru DC,UMOJA KINGORI
Arusha,Meru DC,URAKI
Arusha,Meru DC,UWIRO
Arusha,Monduli DC,ENGUTOTO
Arusha,Monduli DC,IRKISALE
Arusha,Monduli DC,IRKISONGO
Arusha,Monduli DC,KIPOK
Arusha,Monduli DC,LOWASSA
Arusha,Monduli DC,MANYARA
Arusha,Monduli DC,MOITA
Arusha,Monduli DC,NANJA
Arusha,Monduli DC,OLDONYOLENGAI
Arusha,Monduli DC,OLESOKOINE
Arusha,Monduli DC,OLTINGA
Arusha,Monduli DC,RIFTVALLEY
Arusha,Ngorongoro DC,ARASH
Arusha,Ngorongoro DC,DIGODIGO
Arusha,Ngorongoro DC,EMBARWAY
Arusha,Ngorongoro DC,LAKE NATRON
Arusha,Ngorongoro DC,LOLIONDO
Arusha,Ngorongoro DC,MALAMBO
