mkoa,wilaya,shule,type,sex
Arusha,Arusha cbd,ARUSHA DAY,ward,mixture
Arusha,Arusha cbd,ARUSHA GIRLS,special,female
Arusha,Arusha cbd,ARUSHA SEC,ward,mixture
Arusha,Arusha cbd,ARUSHA TERRAT,ward,mixture
Arusha,Arusha cbd,BARAA,ward,mixture
Arusha,Arusha cbd,ELERAI,ward,mixture
Arusha,Arusha cbd,FELIX MREMA,ward,mixture
Arusha,Arusha cbd,KALOLENI,ward,mixture
Arusha,Arusha cbd,KIMASEKI,ward,mixture
Arusha,Arusha cbd,KINANA,ward,mixture
Arusha,Arusha cbd,KORONA,ward,mixture
Arusha,Arusha cbd,LEMARA,ward,mixture
Arusha,Arusha cbd,LOSIRWAY,ward,mixture
Arusha,Arusha cbd,MKONOO,ward,mixture
Arusha,Arusha cbd,MOIVARO,ward,mixture
Arusha,Arusha cbd,MOSHONO,ward,mixture
Arusha,Arusha cbd,MURIET,ward,mixture
Arusha,Arusha cbd,NAURA,ward,mixture
Arusha,Arusha cbd,NGARENARO,ward,mixture
Arusha,Arusha cbd,NJIRO,ward,mixture
Arusha,Arusha cbd,OLASITI,ward,mixture
Arusha,Arusha cbd,OLMOTI,ward,mixture
Arusha,Arusha cbd,OLOIRIEN,ward,mixture
Arusha,Arusha cbd,SINON,ward,mixture
Arusha,Arusha cbd,SOMBETINI,ward,mixture
Arusha,Arusha cbd,SORENYI,ward,mixture
Arusha,Arusha cbd,SUYE,ward,mixture
Arusha,Arusha cbd,THEMI,ward,mixture
Arusha,Arusha,BANGATA,ward,mixture
Arusha,Arusha,EINOTI,ward,mixture
Arusha,Arusha,ENDEVES,ward,mixture
Arusha,Arusha,ENYOITO,ward,mixture
Arusha,Arusha,ILBORU,special,male
Arusha,Arusha,ILKIDINGA,ward,mixture
Arusha,Arusha,KIMNYAKI,ward,mixture
Arusha,Arusha,KIRANYI,ward,mixture
Arusha,Arusha,LENGIJAVE,ward,mixture
Arusha,Arusha,LOSIKITO,ward,mixture
Arusha,Arusha,MATEVES,ward,mixture
Arusha,Arusha,MLANGARINI,ward,mixture
Arusha,Arusha,MRINGA,ward,mixture
Arusha,Arusha,MUKULAT,ward,mixture
Arusha,Arusha,MUSA,ward,mixture
Arusha,Arusha,MWANDET,ward,mixture
Arusha,Arusha,NDURUMA,ward,mixture
Arusha,Arusha,NGIRESI,ward,mixture
Arusha,Arusha,OLDADAI,ward,mixture
Arusha,Arusha,OLDONYOSAMBU,ward,mixture
Arusha,Arusha,OLDONYOWASI,ward,mixture
Arusha,Arusha,OLEMEDEYE,ward,mixture
Arusha,Arusha,OLJORO,ward,mixture
Arusha,Arusha,OLMOTONYI FOREST,ward,mixture
Arusha,Arusha,OLOKII,ward,mixture
Arusha,Arusha,OLTRUMET,ward,mixture
Arusha,Arusha,OSILIGI,ward,mixture
Arusha,Arusha,SAMBASHA,ward,mixture
Arusha,Arusha,SOKONI II,ward,mixture
Arusha,Karatu,AWET,ward,mixture
Arusha,Karatu,BANJIKA,ward,mixture
Arusha,Karatu,BARAY,ward,mixture
Arusha,Karatu,BARAY KHUSMAYI,ward,mixture
Arusha,Karatu,CHAENDA,ward,mixture
Arusha,Karatu,DIEGO,ward,mixture
Arusha,Karatu,DOMEL,ward,mixture
Arusha,Karatu,DR WILBROAD SLAA,ward,mixture
Arusha,Karatu,EDITH GRORA,ward,mixture
Arusha,Karatu,ENDABASH,ward,mixture
Arusha,Karatu,ENDALLAH,ward,mixture
Arusha,Karatu,FLORIAN,ward,mixture
Arusha,Karatu,GANAKO,ward,mixture
Arusha,Karatu,GETAMOCK,ward,mixture
Arusha,Karatu,GYEKRUM ARUSHA,ward,mixture
Arusha,Karatu,GYEKRUM LAMBO,ward,mixture
Arusha,Karatu,KAINAM RHOTIA,ward,mixture
Arusha,Karatu,KANSAY,ward,mixture
Arusha,Karatu,KARATU,ward,mixture
Arusha,Karatu,KILIMAMOJA,ward,mixture
Arusha,Karatu,KILIMATEMBO,ward,mixture
Arusha,Karatu,MANGOLA,ward,mixture
Arusha,Karatu,MARANG,ward,mixture
Arusha,Karatu,MLIMANI SUMAWE,ward,mixture
Arusha,Karatu,OLDEANI,ward,mixture
Arusha,Karatu,ORBOSHAN,ward,mixture
Arusha,Karatu,QANGDEND,ward,mixture
Arusha,Karatu,QARU,ward,mixture
Arusha,Karatu,QURUS,ward,mixture
Arusha,Karatu,SLAHHAMO,ward,mixture
Arusha,Karatu,UPPER KITETE,ward,mixture
Arusha,Karatu,WELWEL,ward,mixture
Arusha,Longido,ENDUIMET,ward,mixture
Arusha,Longido,ENGARENAIBOR,ward,mixture
Arusha,Longido,KETUMBEINE,ward,mixture
Arusha,Longido,LEKULE,ward,mixture
Arusha,Longido,LONGIDO,ward,mixture
Arusha,Longido,MATALE,ward,mixture
Arusha,Longido,NAMANGA,ward,mixture
Arusha,Longido,NATRON,ward,mixture
Arusha,Longido,TINGATINGA,ward,mixture
Arusha,Arumeru,AKERI,ward,mixture
Arusha,Arumeru,KIKWE,ward,mixture
Arusha,Arumeru,KINGORI,ward,mixture
Arusha,Arumeru,KISIMIRI,ward,mixture
Arusha,Arumeru,KITEFU,ward,mixture
Arusha,Arumeru,LAKITATU,ward,mixture
Arusha,Arumeru,MAJENGO KATI,ward,mixture
Arusha,Arumeru,MAJI YA CHAI,ward,mixture
Arusha,Arumeru,MAKIBA,ward,mixture
Arusha,Arumeru,MALULA,ward,mixture
Arusha,Arumeru,MARORONI,ward,mixture
Arusha,Arumeru,MARUVANGO,ward,mixture
Arusha,Arumeru,MBUGUNI,ward,mixture
Arusha,Arumeru,MIRIRINI,ward,mixture
Arusha,Arumeru,MOMELA,ward,mixture
Arusha,Arumeru,MUUNGANO USARIVER,ward,mixture
Arusha,Arumeru,NASHOLI,ward,mixture
Arusha,Arumeru,NGONGONGARE,ward,mixture
Arusha,Arumeru,NGURUDOTO,ward,mixture
Arusha,Arumeru,NGYEKU,ward,mixture
Arusha,Arumeru,NKOANEKOLI,ward,mixture
Arusha,Arumeru,NKOANRUA,ward,mixture
Arusha,Arumeru,NKOARISAMBU,ward,mixture
Arusha,Arumeru,NKOASENGA,ward,mixture
Arusha,Arumeru,NSHUPU,ward,mixture
Arusha,Arumeru,PAMOJA,ward,mixture
Arusha,Arumeru,PATANDI MAALUM,ward,mixture
Arusha,Arumeru,POLI,ward,mixture
Arusha,Arumeru,SAKILA,ward,mixture
Arusha,Arumeru,SHISHTON,ward,mixture
Arusha,Arumeru,SINGISI,ward,mixture
Arusha,Arumeru,SONGORO,ward,mixture
Arusha,Arumeru,UMOJA KINGORI,ward,mixture
Arusha,Arumeru,URAKI,ward,mixture
Arusha,Arumeru,UWIRO,ward,mixture
Arusha,Monduli,ENGUTOTO,ward,mixture
Arusha,Monduli,IRKISALE,ward,mixture
Arusha,Monduli,IRKISONGO,ward,mixture
Arusha,Monduli,KIPOK,ward,mixture
Arusha,Monduli,LOWASSA,ward,mixture
Arusha,Monduli,MANYARA,ward,mixture
Arusha,Monduli,MOITA,ward,mixture
Arusha,Monduli,NANJA,ward,mixture
Arusha,Monduli,OLDONYOLENGAI,ward,mixture
Arusha,Monduli,OLESOKOINE,ward,mixture
Arusha,Monduli,OLTINGA,ward,mixture
Arusha,Monduli,RIFTVALLEY,ward,mixture
Arusha,Ngorongoro,ARASH,ward,mixture
Arusha,Ngorongoro,DIGODIGO,ward,mixture
Arusha,Ngorongoro,EMBARWAY,ward,mixture
Arusha,Ngorongoro,LAKE NATRON,ward,mixture
Arusha,Ngorongoro,LOLIONDO,ward,mixture
Arusha,Ngorongoro,MALAMBO,ward,mixture
Arusha,Ngorongoro,NAINOKANOKA,ward,mixture
Arusha,Ngorongoro,SALE,ward,mixture
Arusha,Ngorongoro,SAMUNGE,ward,mixture
Arusha,Ngorongoro,SOITSAMBU,ward,mixture
Pwani,Bagamoyo,BAGAMOYO,ward,mixture
Pwani,Bagamoyo,DUNDA,ward,mixture
Pwani,Bagamoyo,FUKAYOSI,ward,mixture
Pwani,Bagamoyo,HASSANAL DAMJI,ward,mixture
Pwani,Bagamoyo,KEREGE,ward,mixture
Pwani,Bagamoyo,KINGANI,ward,mixture
Pwani,Bagamoyo,KIROMO,ward,mixture
Pwani,Bagamoyo,MATIMBWA,ward,mixture
Pwani,Bagamoyo,ZINGA,ward,mixture
Pwani,Kibaha,CHALINZE,ward,mixture
Pwani,Kibaha,CHANGALIKWA,ward,mixture
Pwani,Kibaha,KIBINDU,ward,mixture
Pwani,Kibaha,KIKARO,ward,mixture
Pwani,Kibaha,KIMANGE,ward,mixture
Pwani,Kibaha,KIWANGWA,ward,mixture
Pwani,Kibaha,LUGOBA,ward,mixture
Pwani,Kibaha,MANDERA GIRLS,special,female
Pwani,Kibaha,MATIPWILI,ward,mixture
Pwani,Kibaha,MBOGA,ward,mixture
Pwani,Kibaha,MDAULA,ward,mixture
Pwani,Kibaha,MIONO,ward,mixture
Pwani,Kibaha,MORETO,ward,mixture
Pwani,Kibaha,MSATA,ward,mixture
Pwani,Kibaha,TALAWANDA,ward,mixture
Pwani,Kibaha,UBENA,ward,mixture
Pwani,Kibaha,VIGWAZA,ward,mixture
Pwani,Kibaha,DOSSA AZIZ,ward,mixture
Pwani,Kibaha,KILANGALANGA,ward,mixture
Pwani,Kibaha,KWALA,ward,mixture
Pwani,Kibaha,MAGINDU,ward,mixture
Pwani,Kibaha,MIHANDE,ward,mixture
Pwani,Kibaha,RAFSANJANI SOGA,ward,mixture
Pwani,Kibaha,RUVU GIRLS,special,female
Pwani,Kibaha,RUVU STATION,ward,mixture
Pwani,Kibaha cbd,BUNDIKANI,ward,mixture
Pwani,Kibaha cbd,KIBAHA,special,male
Pwani,Kibaha cbd,KIBAHA GIRLS,special,female
Pwani,Kibaha cbd,MBWAWA MISWE,ward,mixture
Pwani,Kibaha cbd,MIEMBESABA,ward,mixture
Pwani,Kibaha cbd,MWAMBISI FOREST,ward,mixture
Pwani,Kibaha cbd,MWANALUGALI,ward,mixture
Pwani,Kibaha cbd,NYUMBU,ward,mixture
Pwani,Kibaha cbd,PANGANI,ward,mixture
Pwani,Kibaha cbd,SIMBANI,ward,mixture
Pwani,Kibaha cbd,TUMBI,ward,mixture
Pwani,Kibaha cbd,VISIGA,ward,mixture
Pwani,Kibaha cbd,ZOGOWALE,ward,mixture
Pwani,Kibiti,DIMANI,ward,mixture
Pwani,Kibiti,KIBITI,ward,mixture
Pwani,Kibiti,KIKALE,ward,mixture
Pwani,Kibiti,MAHEGE,ward,mixture
Pwani,Kibiti,MCHUKWI,ward,mixture
Pwani,Kibiti,MJAWA,ward,mixture
Pwani,Kibiti,MLANZI,ward,mixture
Pwani,Kibiti,MSAFIRI,ward,mixture
Pwani,Kibiti,MTANGA DELTA,ward,mixture
Pwani,Kibiti,NYAMISATI,ward,mixture
Pwani,Kibiti,RUARUKE,ward,mixture
Pwani,Kibiti,ZIMBWINI,ward,mixture
Pwani,Kisarawe,CHANZIGE,ward,mixture
Pwani,Kisarawe,CHOLE,ward,mixture
Pwani,Kisarawe,GONGONI,ward,mixture
Pwani,Kisarawe,GWATA KISARAWE,ward,mixture
Pwani,Kisarawe,JANGUO,ward,mixture
Pwani,Kisarawe,KIBUTA,ward,mixture
Pwani,Kisarawe,KIMANI,ward,mixture
Pwani,Kisarawe,KURUI,ward,mixture
Pwani,Kisarawe,MAKURUNGE,ward,mixture
Pwani,Kisarawe,MANEROMANGO,ward,mixture
Pwani,Kisarawe,MASAKI,ward,mixture
Pwani,Kisarawe,MFURU,ward,mixture
Pwani,Kisarawe,MINAKI,ward,mixture
Pwani,Kisarawe,MSIMBU,ward,mixture
Pwani,Kisarawe,MZENGA,ward,mixture
Pwani,Kisarawe,VIKUMBURU,ward,mixture
Pwani,Mafia,BALENI,ward,mixture
Pwani,Mafia,BWENI,ward,mixture
Pwani,Mafia,KILINDONI,ward,mixture
Pwani,Mafia,KIRONGWE,ward,mixture
Pwani,Mafia,KITOMONDO,ward,mixture
Pwani,Mafia,MICHENI,ward,mixture
Pwani,Mkuranga,ABDALLA H ULEGA,ward,mixture
Pwani,Mkuranga,DUNDANI,ward,mixture
Pwani,Mkuranga,KIIMBWANINDI,ward,mixture
Pwani,Mkuranga,KIPARANGANDA,ward,mixture
Pwani,Mkuranga,KISIJU,ward,mixture
Pwani,Mkuranga,KISIJU PWANI,ward,mixture
Pwani,Mkuranga,KISIMA,ward,mixture
Pwani,Mkuranga,KIZOMLA,ward,mixture
Pwani,Mkuranga,LUKANGA,ward,mixture
Pwani,Mkuranga,MAGAWA,ward,mixture
